,Danish,English
0,er,is
1,jeg,I
2,det,that
3,du,you
4,ikke,does not
5,at,to
6,en,one
7,og,and
8,har,have
9,vi,we
10,til,to
11,på,on
12,hvad,what
13,mig,me
14,med,with
15,de,the
16,den,the
17,for,for
18,der,there
19,dig,you
20,han,he
21,kan,able to
22,af,of
23,vil,will
24,var,was
25,et,one
26,skal,must
27,ved,by
28,men,but
29,om,about
30,nu,now
31,ja,Yes
32,min,mine
33,nej,no
34,noget,something
35,ham,him
36,hun,she
37,være,be
38,bare,just
39,kom,came
40,din,your
41,hvor,where
42,os,U.S
43,dem,them
44,hvis,if
45,ud,out
46,må,must
47,fra,from
48,se,see
49,godt,well
50,have,Garden
51,ville,would
52,gør,do
53,lige,just
54,okay,Okay
55,alle,all
56,op,up
57,tror,think
58,sig,themselves
59,tak,thanks
60,kommer,coming
61,kunne,could
62,meget,much
63,eller,or
64,hende,her
65,ingen,none
66,gå,go
67,bliver,becomes
68,havde,had
69,efter,after
70,nok,enough
71,man,you
72,da,as
73,går,walks
74,alt,everything
75,sagde,said
76,når,when
77,vores,our
78,over,over
79,aldrig,never
80,nogen,anyone
81,måske,maybe
82,hans,his
83,skulle,should
84,mand,male
85,selv,self
86,to,thaw
87,mere,more
