Danish,English
er,is
jeg,I
det,that
du,you
ikke,does not
at,to
en,one
og,and
har,have
vi,we
til,to
på,on
hvad,what
mig,me
med,with
de,the
den,the
for,for
der,there
så,so
dig,you
han,he
kan,able to
af,of
vil,will
var,was
her,here
et,one
skal,must
ved,by
men,but
om,about
nu,now
som,as
ja,Yes
min,mine
nej,no
noget,something
ham,him
hun,she
være,be
bare,just
kom,came
din,your
hvor,where
os,U.S
dem,them
hvis,if
ud,out
må,must
fra,from
se,see
godt,well
have,Garden
ville,would
gør,do
lige,just
okay,Okay
alle,all
op,up
lad,let
hvorfor,Why
tror,think
sig,themselves
tak,thanks
hvordan,how
kommer,coming
få,few
kunne,could
gøre,do
meget,much
eller,or
hende,her
ingen,none
tilbage,back
hvem,who
gå,go
bliver,becomes
havde,had
efter,after
nok,enough
man,you
da,as
går,walks
alt,everything
sagde,said
mit,my
når,when
ind,in
vores,our
over,over
aldrig,never
nogen,anyone
måske,maybe
hans,his
skulle,should
mand,male
selv,self
to,thaw
mere,more
